Order Date,Ship Mode,Segment,Region,Category
13/10/2017,Standard Class,Consumer,West,Office Supplies
13/10/2017,Standard Class,Consumer,West,Office Supplies
13/10/2017,Standard Class,Consumer,West,Office Supplies
13/10/2017,Standard Class,Consumer,West,Furniture
05/09/2017,Second Class,Corporate,East,Furniture
18/09/2018,Standard Class,Corporate,West,Office Supplies
18/09/2018,Standard Class,Corporate,West,Office Supplies
18/09/2018,Standard Class,Corporate,West,Office Supplies
22/12/2018,Standard Class,Consumer,Central,Office Supplies
07/09/2016,Standard Class,Consumer,West,Office Supplies
22/10/2015,Standard Class,Home Office,East,Furniture
05/12/2017,Standard Class,Corporate,Central,Technology
05/12/2017,Standard Class,Corporate,Central,Technology
05/12/2017,Standard Class,Corporate,Central,Furniture
05/12/2017,Standard Class,Corporate,Central,Office Supplies
13/03/2017,First Class,Home Office,West,Office Supplies
13/03/2017,First Class,Home Office,West,Technology
31/05/2016,First Class,Corporate,West,Office Supplies
31/05/2016,First Class,Corporate,West,Office Supplies
31/05/2016,First Class,Corporate,West,Office Supplies
28/05/2016,Standard Class,Home Office,West,Office Supplies
01/03/2015,Second Class,Consumer,West,Furniture
20/11/2017,Standard Class,Consumer,Central,Office Supplies
20/11/2017,Standard Class,Consumer,Central,Technology
11/05/2017,First Class,Consumer,West,Office Supplies
28/12/2016,Second Class,Consumer,East,Technology
16/11/2017,Standard Class,Consumer,West,Office Supplies
07/11/2017,Standard Class,Consumer,West,Office Supplies
08/09/2015,Standard Class,Consumer,Central,Office Supplies
08/09/2015,Standard Class,Consumer,Central,Technology
08/09/2015,Standard Class,Consumer,Central,Office Supplies
08/09/2015,Standard Class,Consumer,Central,Furniture
08/09/2015,Standard Class,Consumer,Central,Office Supplies
08/09/2015,Standard Class,Consumer,Central,Office Supplies
08/09/2015,Standard Class,Consumer,Central,Technology
05/08/2015,Standard Class,Consumer,West,Office Supplies
05/08/2015,Standard Class,Consumer,West,Office Supplies
05/08/2015,Standard Class,Consumer,West,Furniture
14/09/2015,Standard Class,Corporate,Central,Office Supplies
14/09/2015,Standard Class,Corporate,Central,Office Supplies
21/04/2018,Second Class,Consumer,Central,Office Supplies
21/11/2016,Second Class,Consumer,East,Furniture
21/11/2016,Second Class,Consumer,East,Office Supplies
15/12/2016,Standard Class,Home Office,East,Office Supplies
05/12/2015,Second Class,Corporate,Central,Office Supplies
05/12/2015,Second Class,Corporate,Central,Technology
19/11/2015,Second Class,Home Office,South,Technology
19/11/2015,Second Class,Home Office,South,Technology
19/11/2015,Second Class,Home Office,South,Technology
28/11/2017,Standard Class,Consumer,East,Office Supplies
26/08/2015,Standard Class,Home Office,West,Technology
16/07/2017,Standard Class,Corporate,Central,Office Supplies
16/07/2017,Standard Class,Corporate,Central,Office Supplies
12/10/2016,First Class,Home Office,East,Furniture
12/10/2016,First Class,Home Office,East,Technology
12/10/2016,First Class,Home Office,East,Office Supplies
12/10/2016,First Class,Home Office,East,Furniture
12/10/2016,First Class,Home Office,East,Office Supplies
31/10/2016,Standard Class,Corporate,West,Office Supplies
21/03/2015,Standard Class,Consumer,East,Office Supplies
21/03/2015,Standard Class,Consumer,East,Office Supplies
06/11/2018,Standard Class,Home Office,East,Office Supplies
06/07/2018,Standard Class,Corporate,East,Office Supplies
06/07/2018,Standard Class,Corporate,East,Office Supplies
24/06/2018,Standard Class,Consumer,East,Office Supplies
03/08/2015,First Class,Consumer,West,Furniture
03/08/2015,First Class,Consumer,West,Office Supplies
17/12/2018,Second Class,Consumer,Central,Office Supplies
03/06/2018,Standard Class,Corporate,South,Furniture
09/12/2018,Standard Class,Consumer,West,Technology
01/12/2018,Standard Class,Consumer,Central,Office Supplies
01/12/2018,Standard Class,Consumer,Central,Technology
01/12/2018,Standard Class,Consumer,Central,Office Supplies
01/12/2018,Standard Class,Consumer,Central,Office Supplies
01/12/2018,Standard Class,Consumer,Central,Office Supplies
09/02/2016,Second Class,Corporate,Central,Technology
02/01/2016,Standard Class,Corporate,East,Office Supplies
02/01/2016,Standard Class,Corporate,East,Furniture
02/01/2016,Standard Class,Corporate,East,Technology
02/01/2016,Standard Class,Corporate,East,Technology
02/01/2016,Standard Class,Corporate,East,Technology
28/10/2017,Standard Class,Consumer,West,Office Supplies
28/10/2017,Standard Class,Consumer,West,Technology
24/12/2016,First Class,Consumer,East,Office Supplies
24/12/2016,First Class,Consumer,East,Office Supplies
24/12/2016,First Class,Consumer,East,Office Supplies
24/12/2016,First Class,Consumer,East,Furniture
24/12/2016,First Class,Consumer,East,Technology
24/12/2016,First Class,Consumer,East,Office Supplies
09/08/2016,Standard Class,Corporate,Central,Office Supplies
09/08/2016,Standard Class,Corporate,Central,Furniture
09/08/2016,Standard Class,Corporate,Central,Office Supplies
28/02/2016,Standard Class,Consumer,South,Furniture
28/02/2016,Standard Class,Consumer,South,Furniture
13/09/2015,Standard Class,Corporate,South,Office Supplies
07/04/2018,Standard Class,Home Office,South,Furniture
07/04/2018,Standard Class,Home Office,South,Furniture
07/04/2018,Standard Class,Home Office,South,Office Supplies
07/04/2018,Standard Class,Home Office,South,Furniture
07/04/2018,Standard Class,Home Office,South,Technology
12/11/2018,Standard Class,Corporate,West,Office Supplies
04/06/2017,Second Class,Consumer,Central,Office Supplies
04/06/2017,Second Class,Consumer,Central,Furniture
04/06/2017,Second Class,Consumer,Central,Furniture
04/06/2017,Second Class,Consumer,Central,Technology
04/06/2017,Second Class,Consumer,Central,Furniture
04/06/2017,Second Class,Consumer,Central,Furniture
04/06/2017,Second Class,Consumer,Central,Office Supplies
01/06/2015,Second Class,Home Office,Central,Furniture
01/06/2015,Second Class,Home Office,Central,Office Supplies
01/06/2015,Second Class,Home Office,Central,Office Supplies
01/06/2015,Second Class,Home Office,Central,Office Supplies
01/06/2015,Second Class,Home Office,Central,Office Supplies
10/12/2017,Second Class,Consumer,West,Furniture
11/09/2017,Standard Class,Consumer,West,Office Supplies
11/09/2017,Standard Class,Consumer,West,Technology
10/12/2017,First Class,Consumer,East,Office Supplies
10/12/2017,First Class,Consumer,East,Office Supplies
28/11/2016,Standard Class,Corporate,Central,Furniture
28/11/2016,Standard Class,Corporate,Central,Office Supplies
28/11/2016,Standard Class,Corporate,Central,Office Supplies
28/11/2016,Standard Class,Corporate,Central,Technology
01/12/2018,Second Class,Consumer,East,Technology
01/12/2018,Second Class,Consumer,East,Office Supplies
01/12/2018,Second Class,Consumer,East,Office Supplies
08/06/2018,Standard Class,Corporate,Central,Office Supplies
19/09/2015,Second Class,Corporate,Central,Technology
19/09/2015,Second Class,Corporate,Central,Technology
06/06/2017,Standard Class,Consumer,Central,Technology
10/11/2016,Standard Class,Consumer,West,Technology
16/06/2018,Standard Class,Corporate,South,Office Supplies
22/01/2017,Standard Class,Consumer,East,Office Supplies
09/12/2018,Standard Class,Corporate,East,Office Supplies
09/12/2018,Standard Class,Corporate,East,Office Supplies
28/12/2018,Second Class,Corporate,West,Office Supplies
30/07/2016,First Class,Consumer,West,Technology
30/07/2016,First Class,Consumer,West,Furniture
30/07/2016,First Class,Consumer,West,Office Supplies
16/09/2018,First Class,Corporate,West,Office Supplies
16/09/2018,First Class,Corporate,West,Office Supplies
13/10/2018,Standard Class,Corporate,East,Office Supplies
13/10/2018,Standard Class,Corporate,East,Office Supplies
13/10/2018,Standard Class,Corporate,East,Office Supplies
13/10/2018,Standard Class,Corporate,East,Office Supplies
26/09/2016,Second Class,Consumer,Central,Office Supplies
26/09/2016,Second Class,Consumer,Central,Technology
02/11/2016,Standard Class,Consumer,West,Furniture
26/09/2016,Standard Class,Consumer,West,Office Supplies
26/09/2016,Standard Class,Consumer,West,Technology
26/09/2016,Standard Class,Consumer,West,Office Supplies
18/12/2017,Second Class,Corporate,South,Office Supplies
18/12/2017,Second Class,Corporate,South,Office Supplies
18/12/2017,Second Class,Corporate,South,Office Supplies
20/11/2017,Second Class,Home Office,East,Office Supplies
20/11/2017,Second Class,Home Office,East,Office Supplies
20/11/2017,Second Class,Home Office,East,Technology
20/11/2017,Second Class,Home Office,East,Furniture
26/12/2015,First Class,Corporate,West,Furniture
26/12/2015,First Class,Corporate,West,Furniture
26/12/2015,First Class,Corporate,West,Furniture
26/12/2015,First Class,Corporate,West,Office Supplies
26/12/2015,First Class,Corporate,West,Office Supplies
28/10/2017,Standard Class,Corporate,East,Office Supplies
28/10/2017,Standard Class,Corporate,East,Office Supplies
28/10/2017,Standard Class,Corporate,East,Office Supplies
28/10/2017,Standard Class,Corporate,East,Furniture
28/10/2017,Standard Class,Corporate,East,Office Supplies
19/11/2018,Standard Class,Consumer,Central,Furniture
04/05/2016,Second Class,Corporate,East,Furniture
30/12/2015,Standard Class,Corporate,Central,Office Supplies
01/06/2015,Standard Class,Home Office,East,Office Supplies
01/06/2015,Standard Class,Home Office,East,Office Supplies
15/04/2018,First Class,Consumer,South,Office Supplies
12/09/2017,Second Class,Corporate,West,Furniture
12/09/2017,Second Class,Corporate,West,Furniture
12/09/2017,Second Class,Corporate,West,Furniture
12/09/2017,Second Class,Corporate,West,Office Supplies
27/09/2015,Standard Class,Corporate,East,Furniture
09/08/2015,Standard Class,Corporate,South,Technology
09/08/2015,Standard Class,Corporate,South,Office Supplies
28/12/2015,First Class,Corporate,East,Office Supplies
04/11/2015,Standard Class,Home Office,East,Furniture
04/11/2015,Standard Class,Home Office,East,Technology
04/11/2015,Standard Class,Home Office,East,Technology
04/11/2015,Standard Class,Home Office,East,Technology
04/11/2015,Standard Class,Home Office,East,Office Supplies
19/09/2015,Standard Class,Corporate,West,Office Supplies
23/04/2017,Standard Class,Corporate,West,Office Supplies
23/04/2017,Standard Class,Corporate,West,Technology
03/11/2018,Second Class,Corporate,South,Furniture
30/08/2017,First Class,Consumer,East,Technology
30/08/2017,First Class,Consumer,East,Office Supplies
30/08/2017,First Class,Consumer,East,Furniture
30/08/2017,First Class,Consumer,East,Office Supplies
30/08/2017,First Class,Consumer,East,Office Supplies
25/04/2017,Second Class,Consumer,East,Technology
25/04/2017,Second Class,Consumer,East,Office Supplies
25/04/2017,Second Class,Consumer,East,Office Supplies
01/09/2016,Second Class,Consumer,West,Office Supplies
01/09/2016,Second Class,Consumer,West,Technology
01/09/2016,Second Class,Consumer,West,Office Supplies
12/07/2015,Standard Class,Corporate,West,Office Supplies
12/07/2015,Standard Class,Corporate,West,Furniture
22/06/2016,Second Class,Consumer,West,Office Supplies
13/04/2015,Second Class,Corporate,East,Office Supplies
13/04/2015,Second Class,Corporate,East,Office Supplies
13/04/2015,Second Class,Corporate,East,Office Supplies
13/04/2015,Second Class,Corporate,East,Technology
20/12/2016,Standard Class,Consumer,Central,Office Supplies
15/06/2018,Standard Class,Consumer,West,Technology
08/07/2018,Standard Class,Consumer,East,Office Supplies
08/07/2018,Standard Class,Consumer,East,Office Supplies
08/07/2018,Standard Class,Consumer,East,Office Supplies
01/09/2017,First Class,Home Office,East,Technology
01/09/2017,First Class,Home Office,East,Office Supplies
01/09/2017,First Class,Home Office,East,Office Supplies
01/09/2017,First Class,Home Office,East,Office Supplies
01/09/2017,First Class,Home Office,East,Office Supplies
08/04/2017,Standard Class,Consumer,East,Furniture
08/04/2017,Standard Class,Consumer,East,Office Supplies
08/04/2017,Standard Class,Consumer,East,Office Supplies
08/04/2017,Standard Class,Consumer,East,Office Supplies
23/04/2017,Standard Class,Corporate,South,Office Supplies
08/03/2018,First Class,Corporate,South,Office Supplies
08/03/2018,First Class,Corporate,South,Office Supplies
25/09/2018,Standard Class,Consumer,East,Office Supplies
25/09/2018,Standard Class,Consumer,East,Furniture
25/09/2018,Standard Class,Consumer,East,Office Supplies
25/09/2018,Standard Class,Consumer,East,Furniture
24/09/2015,Standard Class,Consumer,West,Office Supplies
21/10/2017,Same Day,Corporate,East,Office Supplies
21/10/2017,Same Day,Corporate,East,Office Supplies
21/10/2017,Same Day,Corporate,East,Office Supplies
21/10/2017,Same Day,Corporate,East,Furniture
29/05/2018,Standard Class,Consumer,Central,Office Supplies
29/05/2018,Standard Class,Consumer,Central,Office Supplies
23/07/2015,Standard Class,Consumer,West,Office Supplies
23/07/2015,Standard Class,Consumer,West,Technology
23/07/2015,Standard Class,Consumer,West,Office Supplies
23/07/2015,Standard Class,Consumer,West,Technology
28/09/2017,First Class,Corporate,Central,Office Supplies
27/08/2018,Standard Class,Corporate,East,Furniture
28/04/2016,Standard Class,Consumer,Central,Office Supplies
28/04/2016,Standard Class,Consumer,Central,Office Supplies
28/04/2016,Standard Class,Consumer,Central,Office Supplies
28/10/2017,First Class,Corporate,West,Office Supplies
28/10/2017,First Class,Corporate,West,Office Supplies
26/06/2016,Second Class,Corporate,Central,Technology
27/11/2016,Standard Class,Consumer,South,Furniture
27/11/2016,Standard Class,Consumer,South,Technology
03/12/2016,Standard Class,Corporate,East,Technology
03/12/2016,Standard Class,Corporate,East,Furniture
24/11/2015,First Class,Consumer,East,Office Supplies
11/12/2018,Standard Class,Consumer,East,Office Supplies
11/12/2018,Standard Class,Consumer,East,Technology
21/09/2015,Second Class,Consumer,West,Technology
21/09/2015,Second Class,Consumer,West,Technology
07/06/2015,Second Class,Corporate,Central,Office Supplies
30/06/2018,Standard Class,Home Office,West,Office Supplies
17/10/2018,Second Class,Corporate,East,Office Supplies
17/10/2018,Second Class,Corporate,East,Office Supplies
31/10/2016,Standard Class,Home Office,Central,Office Supplies
08/09/2017,Second Class,Consumer,Central,Office Supplies
08/09/2017,Second Class,Consumer,Central,Furniture
08/09/2017,Second Class,Consumer,Central,Office Supplies
08/09/2017,Second Class,Consumer,Central,Technology
24/12/2015,First Class,Consumer,South,Office Supplies
16/04/2015,Standard Class,Corporate,South,Office Supplies
24/12/2018,Standard Class,Consumer,East,Office Supplies
08/12/2018,Standard Class,Consumer,West,Technology
08/12/2018,Standard Class,Consumer,West,Technology
08/12/2018,Standard Class,Consumer,West,Office Supplies
08/12/2018,Standard Class,Consumer,West,Furniture
08/12/2018,Standard Class,Consumer,West,Office Supplies
08/12/2018,Standard Class,Consumer,West,Office Supplies
08/12/2018,Standard Class,Consumer,West,Office Supplies
08/12/2018,Standard Class,Consumer,West,Furniture
08/12/2018,Standard Class,Consumer,West,Furniture
03/11/2018,Standard Class,Corporate,West,Office Supplies
03/11/2018,Standard Class,Corporate,West,Furniture
24/06/2018,Standard Class,Consumer,West,Office Supplies
14/04/2017,Standard Class,Consumer,West,Furniture
06/11/2018,Standard Class,Corporate,South,Office Supplies
04/03/2018,Standard Class,Corporate,West,Office Supplies
04/03/2018,Standard Class,Corporate,West,Office Supplies
22/06/2015,First Class,Consumer,West,Technology
19/10/2018,Standard Class,Corporate,East,Furniture
19/10/2018,Standard Class,Corporate,East,Office Supplies
21/08/2018,Second Class,Consumer,South,Furniture
23/11/2018,Second Class,Corporate,Central,Furniture
23/11/2018,Second Class,Corporate,Central,Office Supplies
12/09/2015,First Class,Home Office,East,Technology
01/10/2018,Standard Class,Corporate,Central,Office Supplies
15/04/2017,Standard Class,Home Office,South,Office Supplies
15/04/2017,Standard Class,Home Office,South,Technology
15/04/2017,Standard Class,Home Office,South,Technology
15/04/2017,Standard Class,Home Office,South,Office Supplies
06/06/2017,First Class,Consumer,East,Office Supplies
19/12/2015,Standard Class,Consumer,South,Office Supplies
19/12/2015,Standard Class,Consumer,South,Technology
12/06/2017,Second Class,Home Office,Central,Technology
12/06/2017,Second Class,Home Office,Central,Office Supplies
15/09/2018,Standard Class,Corporate,Central,Office Supplies
20/01/2018,Second Class,Corporate,East,Furniture
05/09/2017,Second Class,Consumer,Central,Furniture
05/09/2017,Second Class,Consumer,Central,Office Supplies
05/09/2017,Second Class,Consumer,Central,Office Supplies
05/09/2017,Second Class,Consumer,Central,Office Supplies
05/09/2017,Second Class,Consumer,Central,Furniture
05/09/2017,Second Class,Consumer,Central,Office Supplies
20/03/2018,Second Class,Consumer,Central,Furniture
01/04/2017,Second Class,Consumer,East,Office Supplies
01/04/2017,Second Class,Consumer,East,Office Supplies
01/04/2017,Second Class,Consumer,East,Office Supplies
01/04/2017,Second Class,Consumer,East,Office Supplies
01/04/2017,Second Class,Consumer,East,Office Supplies
01/04/2017,Second Class,Consumer,East,Technology
20/10/2018,Standard Class,Corporate,East,Furniture
20/10/2018,Standard Class,Corporate,East,Office Supplies
13/12/2017,Standard Class,Corporate,Central,Technology
12/02/2015,Standard Class,Consumer,West,Furniture
26/09/2017,Standard Class,Consumer,Central,Furniture
26/09/2017,Standard Class,Consumer,Central,Office Supplies
15/12/2016,Standard Class,Consumer,West,Office Supplies
15/12/2016,Standard Class,Consumer,West,Technology
15/12/2016,Standard Class,Consumer,West,Office Supplies
22/04/2017,Standard Class,Home Office,West,Furniture
22/04/2017,Standard Class,Home Office,West,Furniture
22/04/2017,Standard Class,Home Office,West,Office Supplies
22/04/2017,Standard Class,Home Office,West,Office Supplies
22/04/2017,Standard Class,Home Office,West,Office Supplies
17/01/2016,Standard Class,Home Office,Central,Furniture
31/03/2018,Standard Class,Corporate,Central,Furniture
16/12/2017,Second Class,Consumer,Central,Office Supplies
20/12/2016,Standard Class,Corporate,East,Office Supplies
09/11/2015,Second Class,Consumer,West,Office Supplies
09/11/2015,Second Class,Consumer,West,Furniture
09/11/2015,Second Class,Consumer,West,Technology
09/11/2015,Second Class,Consumer,West,Office Supplies
09/11/2015,Second Class,Consumer,West,Office Supplies
09/11/2015,Second Class,Consumer,West,Office Supplies
12/07/2017,Standard Class,Corporate,West,Technology
27/10/2017,Standard Class,Consumer,East,Furniture
26/06/2017,Standard Class,Corporate,East,Office Supplies
26/06/2017,Standard Class,Corporate,East,Office Supplies
06/10/2015,Standard Class,Consumer,West,Technology
22/07/2015,Standard Class,Consumer,East,Office Supplies
22/07/2015,Standard Class,Consumer,East,Technology
10/06/2018,First Class,Home Office,West,Office Supplies
10/06/2018,First Class,Home Office,West,Furniture
10/06/2018,First Class,Home Office,West,Technology
29/10/2015,First Class,Consumer,Central,Technology
09/06/2015,Second Class,Home Office,Central,Technology
09/06/2015,Second Class,Home Office,Central,Technology
09/06/2015,Second Class,Home Office,Central,Office Supplies
14/09/2015,Standard Class,Consumer,East,Office Supplies
14/09/2015,Standard Class,Consumer,East,Office Supplies
09/05/2017,Standard Class,Consumer,West,Technology
18/03/2017,Second Class,Consumer,South,Furniture
27/12/2016,Standard Class,Consumer,South,Office Supplies
25/07/2017,Standard Class,Consumer,West,Office Supplies
25/07/2017,Standard Class,Consumer,West,Furniture
25/07/2017,Standard Class,Consumer,West,Furniture
25/07/2017,Standard Class,Consumer,West,Furniture
30/05/2017,Standard Class,Corporate,West,Office Supplies
30/05/2017,Standard Class,Corporate,West,Office Supplies
30/05/2017,Standard Class,Corporate,West,Furniture
30/05/2017,Standard Class,Corporate,West,Office Supplies
30/05/2017,Standard Class,Corporate,West,Office Supplies
12/11/2018,Second Class,Corporate,East,Office Supplies
16/03/2016,Standard Class,Consumer,South,Office Supplies
16/03/2016,Standard Class,Consumer,South,Office Supplies
16/03/2016,Standard Class,Consumer,South,Office Supplies
16/03/2016,Standard Class,Consumer,South,Office Supplies
26/11/2018,First Class,Consumer,Central,Furniture
26/11/2018,First Class,Consumer,Central,Technology
20/10/2017,First Class,Consumer,East,Office Supplies
21/12/2018,Standard Class,Consumer,West,Office Supplies
21/12/2018,Standard Class,Consumer,West,Office Supplies
22/01/2018,Standard Class,Home Office,West,Technology
22/01/2018,Standard Class,Home Office,West,Office Supplies
22/01/2018,Standard Class,Home Office,West,Office Supplies
22/01/2018,Standard Class,Home Office,West,Office Supplies
22/03/2016,Standard Class,Consumer,Central,Technology
22/03/2016,Standard Class,Consumer,Central,Office Supplies
22/03/2016,Standard Class,Consumer,Central,Office Supplies
23/01/2018,First Class,Corporate,Central,Furniture
21/05/2017,First Class,Consumer,West,Technology
21/05/2017,First Class,Consumer,West,Technology
26/12/2016,Standard Class,Consumer,East,Office Supplies
21/10/2018,Standard Class,Home Office,South,Furniture
21/10/2018,Standard Class,Home Office,South,Furniture
03/09/2016,Standard Class,Consumer,East,Office Supplies
03/09/2016,Standard Class,Consumer,East,Office Supplies
03/09/2016,Standard Class,Consumer,East,Office Supplies
07/11/2016,Second Class,Corporate,West,Furniture
07/09/2018,Standard Class,Consumer,West,Furniture
29/05/2017,Second Class,Consumer,South,Technology
29/05/2017,Second Class,Consumer,South,Office Supplies
10/07/2017,Standard Class,Consumer,West,Office Supplies
03/09/2018,Second Class,Consumer,Central,Office Supplies
03/12/2016,Standard Class,Home Office,East,Office Supplies
07/12/2016,Standard Class,Consumer,South,Office Supplies
07/12/2016,Standard Class,Consumer,South,Furniture
01/02/2015,First Class,Consumer,Central,Technology
14/07/2017,First Class,Corporate,West,Technology
18/12/2016,Standard Class,Consumer,East,Office Supplies
